Time,Rs,Ta,RH,Ca,gb
2023-06-16 00:00:00,0,22.9,76.5607825129193,400,0.2
2023-06-16 01:00:00,0,22.5,76.5171995473676,400,0.2
2023-06-16 02:00:00,0,21.8,78.1022505653204,400,0.2
2023-06-16 03:00:00,0,21.4,77.2268218634912,400,0.2
2023-06-16 04:00:00,0,20.9,78.0006673293287,400,0.2
2023-06-16 05:00:00,27.7777777777778,20.6,78.7960298144031,400,0.2
2023-06-16 06:00:00,143.055555555556,20.8,76.3299751973062,400,0.2
2023-06-16 07:00:00,331.944444444444,23.3,69.9429546502878,400,0.2
2023-06-16 08:00:00,533.333333333333,25.8,59.3247604845521,400,0.2
2023-06-16 09:00:00,711.111111111111,27.5,51.9246549398277,400,0.2
2023-06-16 10:00:00,855.555555555556,30.4,43.7173939704516,400,0.2
2023-06-16 11:00:00,958.333333333333,30.8,40.3755173728095,400,0.2
2023-06-16 12:00:00,988.888888888889,31.8,39.5854100477083,400,0.2
2023-06-16 13:00:00,952.777777777778,31.4,39.5650512097062,400,0.2
2023-06-16 14:00:00,840.277777777778,32.3,36.2396179253973,400,0.2
2023-06-16 15:00:00,680.555555555556,32.3,34.5540543009602,400,0.2
2023-06-16 16:00:00,547.222222222222,31.2,34.5052871821789,400,0.2
2023-06-16 17:00:00,363.888888888889,29.1,51.1963931271798,400,0.2
2023-06-16 18:00:00,141.666666666667,28,57.8259410896555,400,0.2
2023-06-16 19:00:00,25,27.5,62.8120825885013,400,0.2
2023-06-16 20:00:00,1.38888888888889,26.7,62.7441180168997,400,0.2
2023-06-16 21:00:00,0,26.3,65.2183271399282,400,0.2
2023-06-16 22:00:00,0,25.4,67.6431006786779,400,0.2
2023-06-16 23:00:00,0,24.8,67.5869276381234,400,0.2
2023-06-17 00:00:00,0,24.3,66.7060300879021,400,0.2
